OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
77,Ashton Hall,8,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,152.47170715332032,126.69124908447266,114.07210540771484,141.1209228515625,174.31607055664062,125.35414123535156,167.45747985839844,120.41919860839843
78,Ashton Hall,10,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,151.10634155273436,126.11392466227214,112.35453796386719,138.887494913737,171.66331685384114,123.41508026123047,164.88487243652344,118.56429392496744
79,Ashton Hall,12,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,151.89545288085938,125.7821762084961,111.58845672607421,137.90882263183593,170.49095458984374,122.55138397216797,163.736279296875,117.73160552978516
80,Ashton Hall,15,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,151.5493657038762,126.34948260967548,113.60038698636569,140.50706129807693,173.58985783503607,124.81935237004207,166.74991431603064,119.91015038123497
81,Ashton Hall North,3,12,2904.632,0.004,40.145,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1446.2021681,74.215325000000007,163.3613203,Rural,R,0,N,135.26325178146362,118.54873085021973,100.93489456176758,124.37100952863693,154.17280781269073,110.51642525196075,147.75449776649475,106.08068639039993
82,Ashton Hall North,10,12,2904.632,0.004,40.145,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1446.2021681,74.215325000000007,163.3613203,Rural,R,0,N,140.11849919071904,119.56355398672598,101.59289946379485,125.21499266447844,155.1994866265191,111.25880149558738,148.74738566080728,106.80615347403067
83,Atlantic Park,4,0,1570.243,0,50.52,0,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1316.5921936,66.9038749,149.0771837,Urban,U,1,S,98.54777267743957,106.28875487705447,98.62445082754459,123.12500590198445,150.20990105395046,107.95764145761166,145.55645464051446,104.39188082713001
84,Atlantic Shores,2,35,6575.732,0.005,33.511,2.387,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1352.68635364,72.5285899,157.5633541,Urban,U,1,S,111.59680284772601,115.85517120361328,NA,NA,NA,NA,NA,NA
85,Atlantic Shores,3,35,6575.732,0.005,33.511,2.387,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1352.68635364,72.5285899,157.5633541,Urban,U,1,S,112.74222271851819,116.10246700710721,NA,NA,NA,NA,NA,NA
86,Atlantic Shores,4,35,6575.732,0.005,33.511,2.387,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1352.68635364,72.5285899,157.5633541,Urban,U,1,S,112.33627151513062,115.80828877655838,NA,NA,NA,NA,NA,NA
87,Atlantic Shores,6,35,6575.732,0.005,33.511,2.387,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1352.68635364,72.5285899,157.5633541,Urban,U,1,S,112.08130926707435,115.6144771999783,NA,NA,NA,NA,NA,NA
